"confirmatory_id","treatment","outcome","horizon","factor","contract_id","iv_candidate","negative_control_candidate","score","p_value","q_value","priority","robust","evidence_tier","contract_status","status","notes","source","run_timestamp_utc"
"ci_contract_006","transfers_total","poverty_child_q",4,"F1","contract_006",NA,NA,1.13691160418346e-07,9.90642423803755e-08,2.37754181712901e-06,"strong",TRUE,"strong","insufficient_candidates","insufficient_contract","missing_iv_or_nc_candidate","channel_findings_ranked+confirmatory_contracts_manifest","2026-04-06T17:14:21Z"
"ci_contract_005","transfers_total","poverty_all_q",4,"F1","contract_005",NA,NA,1.07920969847395e-08,9.90642423803755e-08,2.37754181712901e-06,"strong",TRUE,"strong","insufficient_candidates","insufficient_contract","missing_iv_or_nc_candidate","channel_findings_ranked+confirmatory_contracts_manifest","2026-04-06T17:14:21Z"
"ci_contract_007","transfers_total","gini_households_q",4,"F1","contract_007",NA,NA,3.70313179966171e-09,9.90642423803755e-08,2.37754181712901e-06,"strong",TRUE,"strong","insufficient_candidates","insufficient_contract","missing_iv_or_nc_candidate","channel_findings_ranked+confirmatory_contracts_manifest","2026-04-06T17:14:21Z"
"ci_contract_003","ui_benefits","gini_households_q",4,"F1","contract_003",NA,NA,3.11167374514719e-08,0.0281676183075565,0.378934633738373,"strong",FALSE,"strong","insufficient_candidates","insufficient_contract","missing_iv_or_nc_candidate","channel_findings_ranked+confirmatory_contracts_manifest","2026-04-06T17:14:21Z"
"ci_contract_001","ui_benefits","poverty_all_q",4,"F1","contract_001",NA,NA,9.06840119640454e-08,0.0353177032879282,0.378934633738373,"strong",FALSE,"strong","insufficient_candidates","insufficient_contract","missing_iv_or_nc_candidate","channel_findings_ranked+confirmatory_contracts_manifest","2026-04-06T17:14:21Z"
"ci_contract_010","transfer_composite_fp","poverty_child_q",2,"F2","contract_010",NA,NA,4.3826750486065e-06,0.0368408671690085,0.378934633738373,"strong",FALSE,"strong","insufficient_candidates","insufficient_contract","missing_iv_or_nc_candidate","channel_findings_ranked+confirmatory_contracts_manifest","2026-04-06T17:14:21Z"
"ci_contract_009","transfer_composite_fp","poverty_all_q",2,"F2","contract_009",NA,NA,3.49013551988501e-06,0.0368408671690085,0.378934633738373,"strong",FALSE,"strong","insufficient_candidates","insufficient_contract","missing_iv_or_nc_candidate","channel_findings_ranked+confirmatory_contracts_manifest","2026-04-06T17:14:21Z"
"ci_contract_011","transfer_composite_fp","gini_households_q",2,"F2","contract_011",NA,NA,3.35783476125957e-09,0.0622114962691577,0.549802401487929,"moderate",FALSE,"moderate","insufficient_candidates","insufficient_contract","missing_iv_or_nc_candidate","channel_findings_ranked+confirmatory_contracts_manifest","2026-04-06T17:14:21Z"
"ci_contract_002","ui_benefits","poverty_child_q",4,"F1","contract_002",NA,NA,9.55325972900563e-07,0.130466449688122,0.549802401487929,"weak",FALSE,"weak","insufficient_candidates","insufficient_contract","missing_iv_or_nc_candidate","channel_findings_ranked+confirmatory_contracts_manifest","2026-04-06T17:14:21Z"
"ci_contract_012","transfer_composite_fp","median_real_income_fred_q",4,"F1","contract_012",NA,NA,0.00234506703164661,0.137984103725207,0.549802401487929,"weak",FALSE,"weak","insufficient_candidates","insufficient_contract","missing_iv_or_nc_candidate","channel_findings_ranked+confirmatory_contracts_manifest","2026-04-06T17:14:21Z"
"ci_contract_008","transfers_total","median_real_income_fred_q",8,"F1","contract_008",NA,NA,0.000281253373254433,0.167507858497859,0.549802401487929,"weak",FALSE,"weak","insufficient_candidates","insufficient_contract","missing_iv_or_nc_candidate","channel_findings_ranked+confirmatory_contracts_manifest","2026-04-06T17:14:21Z"
"ci_contract_004","ui_benefits","median_real_income_fred_q",8,"F1","contract_004",NA,NA,0.00172551726534869,0.519394719304669,0.785490897455303,"weak",FALSE,"weak","insufficient_candidates","insufficient_contract","missing_iv_or_nc_candidate","channel_findings_ranked+confirmatory_contracts_manifest","2026-04-06T17:14:21Z"
